brain.fetal.to.adult	liver.fetal.to.adult
40240_at	-3.08192143759054	0.414011220918171
40308_at	2.6662374903692	1.64870849250418
40344_at	2.06789063153222	-1.62785406695885
40381_at	1.09165555197466	-0.392177143193056
40400_at	-2.45948470785796	-0.621329706483484
40401_at	3.10355305313314	0.691971731348745
40544_g_at	1.12325201286733	-0.822147889725001
40546_s_at	-1.56084424583876	-0.153820761364221
40575_at	1.2749671568173	0.42386240198789
40604_at	3.4948340106989	3.01537722011528
40628_at	0.803364497626095	-1.16922976433189
40635_at	-2.9223554140736	0.972039131813862
40642_at	2.42588276983954	-0.742445579356295
40779_at	1.57549188545538	-0.238181518155629
40783_s_at	-1.29327744023065	0.8523199365697
40834_at	1.36472474430714	-0.407006531872655
40840_at	-1.59052767652742	-1.76000010326743
40847_at	-2.97094020500284	-0.104091662232133
40862_i_at	-2.08188813171148	1.16113233915595
40890_at	-0.728108967865653	-0.63343740148926
40913_at	-0.902495079752121	3.08569099303849
40951_at	1.61915368555427	1.69291865058985
40962_s_at	1.47546154391202	-0.195288119113153
41000_at	1.38192100744354	0.48473057959229
41022_r_at	2.21191005305466	-0.145740012021907
41043_at	-0.872190124930725	-0.642412686537948
41083_at	0.946524801565889	-0.271928871714399
41098_at	-2.68120686735787	-0.288631572511594
41206_r_at	-1.63786882519418	-0.216927046412167
41221_at	-1.76716423609487	-0.144150405522456
41225_at	-1.24889380493343	-0.473169365751765
41227_at	-0.750810351729921	-0.265633752661158
41259_at	-1.34413768637857	1.87697675774371
41337_at	-1.70701800723672	-0.698139730262699
41441_at	0.74903782532512	0.317914048631671
41470_at	4.28175541168807	1.74001588052811
41546_at	0.442043611036409	-0.502284710665085
41621_i_at	1.62263887441659	0.0774607710261837
41666_at	-1.52129472322533	0.318126927678199
41671_at	1.60869359595244	0.566129953138737
41688_at	-4.89679530651004	-0.953414173636756
41708_at	3.55332025070381	2.89565493478493
41725_at	-3.22994417035332	0.572135870935677
41839_at	1.25123472544208	0.603896974059427
41850_s_at	-1.84703872850247	-0.759978877004288
463_g_at	1.69768231169356	-0.0962203899226441
466_at	1.08796150413147	0.901262692865048
508_at	-0.967525247408028	0.0214513294979817
514_at	2.23376342304275	0.46749996928428
532_at	-0.796890780792399	-0.722634286725602
577_at	3.27404135163716	3.23224465480194
584_s_at	1.55519931228738	0.321694616479512
600_at	1.85746865776545	0.311708463458391
714_at	-1.35909117331033	1.20519328442248
718_at	-1.98966343035887	-0.855073582814981
719_g_at	-2.17611325609893	-1.2951355199391
870_f_at	-3.24589589587436	-0.117994089772157
905_at	-1.62048034513694	0.0961237500566678
