brain.1	fetal.brain.1	bg1	bg2
1236_s_at	44.2722511864659	367.34280230155	0	0
1237_at	415.839848773197	568.630849200585	0	0
1238_at	598.318371554896	672.895809326728	0	0
1239_s_at	24.7374083726096	222.001910788142	0	0
124_i_at	36.770364118913	28.3139384149012	0	0
1240_at	53.1954586242175	343.07133595089	0	0
1241_at	2310.40087246899	2036.28904795914	0	0
1242_at	479.696081894914	226.671165599101	0	0
1243_at	300.699581869695	351.09098721684	0	0
1244_at	342.377178649379	639.176392847949	0	0
1245_i_at	147.229114153746	335.839199134913	0	0
1246_at	324.982392595779	1800.39996186003	0	0
1247_g_at	65.7888904635868	295.843734639335	0	0
1248_at	496.121063267334	594.195981586855	0	0
1249_at	119.161639323641	58.6881167317001	0	0
125_r_at	641.191321213381	809.675263921273	0	0
1250_at	236.016253036206	369.919585268403	0	0
1251_g_at	2001.33539187266	857.950588878207	0	0
1252_at	2161.96517100801	2888.50286953185	0	0
1253_at	708.964850672507	792.740655976138	0	0
1254_at	639.923424999803	786.52910913727	0	0
1255_g_at	189.437521894961	285.343619648978	0	0
1256_at	377.649834469753	976.193333652563	0	0
1257_s_at	285.824567963146	72.9322842698779	0	0
1258_s_at	403.527194300153	561.656861328796	0	0
1259_at	124.717800567417	418.848879592347	0	0
126_s_at	8.66044467192249	21.7276862560217	0	0
1260_s_at	19.5565531216783	18.2260572497952	0	0
1261_i_at	71.9035226826594	44.3566432450112	0	0
1262_s_at	31.6824374209309	215.329719239155	0	0
1263_at	139.378621765516	147.249492731331	0	0
1264_at	55.4851996471936	126.164712680547	0	0
1265_g_at	10.6375828482769	142.042054710526	0	0
1266_s_at	65.0550176389236	31.3584510949936	0	0
1267_at	72.613442560094	112.49474957893	0	0
1268_at	5847.60254404846	4085.4227061105	0	0
1269_at	429.358232867647	750.577118870822	0	0
127_at	187.410775752268	74.4145861129042	0	0
1270_at	3052.90607721668	1697.83516442977	0	0
1271_g_at	672.107492313845	966.391944857964	0	0
1272_at	224.570077025005	521.825351520788	0	0
1273_r_at	437.885919300977	524.8216622855	0	0
1274_s_at	705.106841615673	503.52709487671	0	0
1275_at	76.3896900297263	43.3117407523641	0	0
1276_g_at	269.021840768565	189.953094338147	0	0
1277_at	488.906230714452	485.36520534595	0	0
1278_at	298.28714193153	40.8547612982689	0	0
1279_s_at	60.3562758328123	66.4645821599722	0	0
128_at	41.5500953098116	60.6743208804986	0	0
