brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2
1104_s_at	11.8574006663372	11.7203585807432	11.3144762207687	11.2357348711253	14.3751812215266	14.1053443450249	12.910672677889	12.3609644948995
1105_s_at	10.5057900630921	10.8582557809351	10.098262416775	9.98757087350139	9.9743719551664	9.51187306902803	10.6690557230289	10.2869472407714
1106_s_at	8.64542671743193	6.82501622252417	8.67916304982094	8.56223166487526	8.71577768501197	8.24344734299793	9.14199850913739	9.94428949573965
1107_s_at	10.4177102243334	10.4864674642234	8.6271550793523	8.72787805337114	9.96337815167855	9.79482285988284	11.0408957823921	10.9069196745756
1108_s_at	5.39275796334182	5.46942992042294	5.4552752857795	5.39588537397889	7.80897911891181	8.29455447927542	9.24330465587136	9.0962318611527
1109_s_at	5.6820504940742	5.5743110639515	5.1565808376705	4.75062213347003	5.52513880492624	5.23966120255772	5.55099296389297	5.40735947450613
111_at	9.2563667863343	9.69448655230576	8.5037920214547	8.72848290091379	8.89027426837946	8.16114564270764	9.96818181957272	9.56478000326034
1110_at	7.31292926870384	6.92286700656267	7.99721368100318	7.2299514147126	7.87960093334573	7.36397057877656	7.56604803414423	8.3782747803127
1111_at	4.8022469865112	4.86544730514141	5.5822546321842	6.01453370029931	5.6126950140159	5.91307819216634	6.28388177064813	5.90623567461996
1112_g_at	8.58988623133036	8.94141452415095	9.36068856297502	9.53545399995753	8.69697037846577	8.80602548738294	9.16899719260396	9.52219102103206
1113_at	5.16955110717303	4.43073913097514	3.89328819360564	3.85505797382658	6.35679584906589	5.31353433723466	4.22728644699749	5.06923909511451
1114_at	8.05677532068487	7.36553608833857	6.18905298881834	6.34561321392926	8.15029073930683	8.08617175839139	7.06196632047205	4.95838083017794
1115_at	5.57015796201483	6.1957438451538	5.98521669488033	5.7563316977328	11.1745480719042	11.4992704076565	7.46815078387716	7.23499786057686
1116_at	7.53777613064525	7.18642168400959	8.79669296608572	8.05639856076865	8.48726813139684	8.29401446243431	7.88165039080498	8.62172669028302
1117_at	4.73503529324391	5.67612680811298	6.01966775951456	5.71963548882076	8.06053204322604	8.16631105163477	10.0906950328397	10.3463519063746
1118_at	5.86608568830101	4.72872095777593	5.03503048146921	4.89798971637579	5.49067428840933	4.90789889600281	4.80402951642375	5.79006519224652
1119_at	9.73442749261177	9.53594038572166	9.19562220084998	9.27162807112056	9.31685126614989	9.30054399883164	8.8657665775527	9.08658846755714
112_g_at	4.22429279717233	5.24404384524863	7.14491497448512	7.66115942906711	6.90976864648912	6.77995889262192	4.90853682246375	5.39077250534567
1120_at	9.11146359146224	8.32124913572809	9.20709580901189	9.1733342744269	8.81009508520173	8.60083146299317	8.26684380953702	8.76530260890731
1121_g_at	9.32318975573593	8.97985442112366	9.1224775543297	9.32664976039173	7.57342009929483	7.77478197056822	8.09915410047103	8.54293203125103
