brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2	brain.mean	fetal.brain.mean	liver.mean	fetal.liver.mean	brain.fetal.to.adult	liver.fetal.to.adult
1009_at	12.8360096210784	12.6764052919705	11.4782361480048	11.4218581356736	12.2156359475299	12.351494746337	12.2283032290817	12.5141608728106	12.7562074565245	11.4500471418392	12.3712320509462	12.2835653469335	-1.30616031468527	-0.0876667040126762
101_at	6.9715156963725	7.6037814757484	4.87924078289461	4.9553631331892	6.10269912068772	6.81830503433693	7.21710263063385	6.10757157714997	7.28764858606045	4.9173019580419	6.66233710389191	6.46050207751233	-2.37034662801855	-0.201835026379584
1010_at	4.96206405636299	4.96088374029596	4.95865819558806	4.95975576480101	5.81506088641306	5.38731387276152	6.15965543741441	4.7769977694882	4.96147389832947	4.95920698019453	5.4683266034513	5.60118737958729	-0.0022669181349384	0.13286077613599
1011_s_at	9.59361371999227	9.43030507286912	10.413976816052	10.2950257905997	8.8525616255919	8.71890943120593	7.42259968851518	8.35000090428113	9.5119593964307	10.3545013033258	7.88630029639816	8.78573552839891	0.842541906895132	0.899435232000758
1012_at	4.23633971036253	4.0198616484502	5.50478148825268	6.17813916584482	4.00052894248293	4.00884562583136	3.64163063820287	3.77099962770744	4.12810067940637	5.84146032704875	3.70631513295516	4.00468728415714	1.71335964764238	0.298372151201987
1013_at	6.42946182369029	3.6417963416262	7.54450983421855	7.52378649062463	6.53469658253247	7.23182471849038	5.54031982004194	4.67019264373587	5.03562908265824	7.53414816242159	5.10525623188891	6.88326065051142	2.49851907976334	1.77800441862252
1014_at	9.42518153081563	9.29466315974524	8.85991138330029	8.97807505452615	9.26417708595813	9.04858766095598	6.76180975398783	6.61194745749409	9.35992234528043	8.91899321891322	6.68687860574096	9.15638237345706	-0.440929126367216	2.4695037677161
1015_s_at	6.54220526958009	7.65019249083624	6.66357723815817	5.62976510304937	5.93523492421908	5.60278148616491	6.36175653199793	6.02983290019732	7.09619888020817	6.14667117060377	6.19579471609762	5.76900820519199	-0.949527709604394	-0.426786510905631
1016_s_at	4.91662707585597	4.56761207839938	6.55685091233598	6.54879808557332	5.69154319268329	6.41348940351942	6.75504938956713	6.82841413087891	4.74211957712768	6.55282449895465	6.79173176022302	6.05251629810136	1.81070492182697	-0.739215462121663
1017_at	7.43265732596817	7.4425419676607	8.49544166336351	8.72888798587374	7.23024763152261	6.96951783098703	6.64401648257451	4.8076795468878	7.43759964681443	8.61216482461863	5.72584801473115	7.09988273125482	1.17456517780419	1.37403471652366
1018_at	9.2671654735867	9.3805510038146	8.93439686661686	9.05273698696304	8.08421776972803	7.47395479397237	6.666154106605	7.20450421990962	9.32385823870065	8.99356692678995	6.93532916325731	7.7790862818502	-0.330291311910702	0.843757118592891
1019_g_at	10.0984969926254	10.6862781909624	10.211060388857	9.9274908445683	8.0545092230854	8.79016754407835	9.22341640479175	9.72305641890296	10.3923875917939	10.0692756167126	9.47323641184735	8.42233838358187	-0.323111975081247	-1.05089802826548
102_at	4.85046157777529	6.26854487549969	6.55345748311441	6.6747160154565	5.37175511141766	5.44941407497704	7.24063179489446	5.43515606351367	5.55950322663749	6.61408674928545	6.33789392920407	5.41058459319735	1.05458352264796	-0.927309336006714
1020_s_at	9.4490221434227	9.62694668411495	8.5647128158754	8.64180986026166	10.2489122440162	10.2998677423471	11.1435474601684	11.1304101645239	9.53798441376883	8.60326133806853	11.1369788123462	10.2743899931816	-0.934723075700296	-0.862588819164538
1021_at	6.25547023273565	6.59181785190942	7.42711957173691	6.24635929441539	7.5109511268235	7.2919437718462	8.01628728412907	7.99893571627542	6.42364404232254	6.83673943307615	8.00761150020225	7.40144744933485	0.413095390753615	-0.606164050867399
1022_f_at	4.83087774445783	5.98463268382576	7.57391455506846	4.69546555133435	6.57880120997896	6.64062275076108	7.16760998215217	7.67826116929829	5.40775521414179	6.13469005320141	7.42293557572523	6.60971198037002	0.726934839059611	-0.813223595355209
